things,49,1
sir,0,1
sir,8,1
sir,15,1
sir,24,1
sir,27,1
sir,31,1
sir,44,1
look,6,1
look,7,1
look,31,1
look,44,1
give,4,1
give,9,1
give,22,1
give,23,1
give,25,1
give,34,1
give,44,1
why,31,1
why,44,1
always,7,1
always,10,1
always,31,1
heard,1,1
heard,8,1
heard,9,1
heard,24,1
heard,26,1
heard,34,1
heard,45,1
heard,49,1
seemed,2,1
seemed,47,1
seemed,49,1
something,12,1
something,31,1
something,49,1
new,8,1
new,14,1
new,49,1
thing,12,1
thing,26,1
thing,31,1
father,7,1
father,8,1
father,31,1
father,44,1
yes,6,1
yes,8,1
yes,24,1
yes,31,1
yes,44,1
because,23,1
because,31,1
because,49,1
going,3,1
going,26,1
going,27,1
going,44,1
world,1,1
world,3,1
world,12,1
world,49,1
told,31,1
told,44,1
love,1,1
love,2,1
love,9,1
love,11,1
love,12,1
love,14,1
love,34,1
love,41,1
love,49,1
mind,1,1
mind,7,1
mind,10,1
mind,18,1
mind,26,1
mind,49,1
got,4,1
got,23,1
got,31,1
got,49,1
door,0,1
door,1,1
door,7,1
door,8,1
door,10,1
door,20,1
door,27,1
door,38,1
door,44,1
door,46,1
door,49,1
home,3,1
home,8,1
home,10,1
home,18,1
home,49,1
far,7,1
far,8,1
far,40,1
far,49,1
each,5,1
each,18,1
each,49,1
knew,16,1
knew,31,1
knew,49,1
soon,32,1
soon,49,1
king,1,1
king,4,1
king,5,1
king,8,1
king,31,1
king,32,1
king,37,1
king,40,1
king,44,1
king,47,1
king,49,1
work,1,1
work,3,1
work,5,1
work,10,1
oh,11,1
oh,14,1
oh,23,1
oh,24,1
oh,41,1
oh,44,1
oh,48,1
against,0,1
against,9,1
against,14,1
against,17,1
against,19,1
against,23,1
against,38,1
against,49,1
heart,9,1
heart,26,1
heart,32,1
heart,49,1
mother,2,1
mother,7,1
mother,10,1
mother,12,1
mother,18,1
mother,31,1
mother,49,1
moment,49,1
years,1,1
years,3,1
years,5,1
years,7,1
years,14,1
years,15,1
years,22,1
years,24,1
years,31,1
years,49,1
quite,31,1
done,4,1
done,44,1
done,49,1
find,3,1
find,23,1
find,31,1
find,44,1
better,3,1
better,23,1
better,31,1
better,43,1
better,49,1
woman,7,1
woman,10,1
woman,11,1
woman,31,1
woman,43,1
woman,46,1
few,3,1
few,18,1
few,25,1
few,39,1
few,43,1
side,25,1
side,27,1
side,49,1
also,5,1
began,1,1
began,6,1
began,47,1
began,49,1
half,15,1
half,18,1
half,27,1
half,43,1
enough,10,1
enough,25,1
enough,31,1
enough,39,1
enough,49,1
having,5,1
having,40,1
seen,5,1
seen,7,1
seen,31,1
seen,44,1
seen,49,1
water,12,1
water,16,1
water,17,1
water,23,1
water,30,1
water,32,1
water,35,1
water,48,1
water,49,1
called,8,1
called,43,1
whole,49,1
turned,0,1
turned,6,1
turned,27,1
turned,44,1
turned,49,1
hands,6,1
hands,7,1
hands,42,1
hands,44,1
hands,49,1
part,5,1
part,22,1
part,49,1
gave,8,1
gave,9,1
gave,44,1
course,3,1
course,31,1
course,49,1
both,30,1
between,0,1
between,15,1
between,18,1
between,49,1
it's,0,1
it's,15,1
it's,16,1
it's,23,1
it's,24,1
it's,26,1
it's,27,1
it's,28,1
it's,31,1
light,27,1
light,30,1
light,45,1
light,49,1
poor,7,1
poor,9,1
poor,11,1
poor,31,1
poor,33,1
poor,45,1
morning,10,1
morning,11,1
morning,12,1
morning,18,1
morning,19,1
morning,23,1
morning,44,1
set,23,1
set,44,1
lady,0,1
lady,5,1
lady,8,1
lady,27,1
lady,31,1
lady,43,1
whom,5,1
whom,11,1
whom,31,1
whom,40,1
whom,44,1
felt,10,1
felt,40,1
felt,47,1
felt,49,1
myself,3,1
myself,10,1
myself,27,1
myself,31,1
myself,43,1
herself,10,1
herself,24,1
herself,38,1
herself,43,1
herself,49,1
however,40,1
god,1,1
god,2,1
god,4,1
god,9,1
god,11,1
god,12,1
god,24,1
god,30,1
god,44,1
god,45,1
miss,0,1
miss,2,1
miss,3,1
miss,8,1
miss,10,1
miss,14,1
miss,17,1
miss,24,1
miss,27,1
miss,29,1
miss,31,1
miss,41,1
stood,5,1
stood,6,1
stood,8,1
stood,16,1
stood,17,1
stood,27,1
stood,38,1
stood,44,1
stood,49,1
white,7,1
white,16,1
white,23,1
white,34,1
white,41,1
white,46,1
white,49,1
dear,6,1
dear,8,1
dear,11,1
dear,14,1
dear,15,1
dear,24,1
dear,31,1
dear,41,1
days,3,1
days,5,1
days,15,1
days,22,1
days,44,1
days,49,1
almost,49,1
words,7,1
words,9,1
words,24,1
words,33,1
nor,9,1
nor,11,1
nor,36,1
nor,40,1
nor,43,1
name,5,1
name,7,1
name,8,1
name,31,1
name,39,1
name,44,1
perhaps,31,1
among,3,1
among,8,1
among,23,1
among,47,1
replied,6,1
replied,8,1
replied,16,1
replied,24,1
replied,44,1
voice,7,1
voice,8,1
voice,9,1
voice,16,1
voice,24,1
voice,26,1
voice,29,1
voice,48,1
voice,49,1
girl,7,1
girl,10,1
girl,11,1
girl,21,1
girl,29,1
girl,31,1
girl,49,1
anything,12,1
anything,24,1
anything,31,1
anything,48,1
anything,49,1
want,3,1
want,11,1
want,23,1
want,27,1
want,49,1
end,5,1
end,10,1
end,22,1
end,49,1
until,5,1
until,10,1
until,49,1
round,5,1
round,6,1
round,7,1
round,29,1
round,49,1
looking,6,1
looking,16,1
looking,27,1
looking,28,1
looking,44,1
cried,6,1
cried,8,1
cried,9,1
cried,11,1
cried,24,1
cried,28,1
cried,29,1
cried,44,1
four,3,1
four,5,1
four,6,1
four,18,1
four,30,1
four,43,1
four,49,1
does,10,1
does,12,1
does,24,1
does,27,1
hundred,5,1
hundred,6,1
hundred,14,1
hundred,17,1
hundred,18,1
hundred,33,1
hundred,40,1
hundred,43,1
hundred,44,1
hundred,47,1
hundred,49,1
next,10,1
next,19,1
next,23,1
till,1,1
till,10,1
till,23,1
till,49,1
brought,4,1
